DC ID,Latitude,Longitude,Assemb,Fixed,q0,c0,q1_old,c1,q2_old,c2
DC0057,36.2836,-92.3419,5.96,121400,150000,0.61,100000,0.55,100000,0.55
DC0058,36.0449,-90.488,3.94,112500,150000,0.56,100000,0.51,100000,0.51
DC0059,34.161,-91.8904,6.46,123000,150000,0.62,100000,0.55,100000,0.55
DC0060,36.3059,-93.9674,1.14,122100,150000,0.61,100000,0.55,100000,0.55
DC0061,35.3295,-93.0777,6.00,129900,150000,0.65,100000,0.58,100000,0.58
DC0062,35.2245,-91.7344,6.86,129500,150000,0.65,100000,0.58,100000,0.58
DC0063,36.1586,-94.4594,4.57,124700,150000,0.62,100000,0.56,100000,0.56
DC0064,36.1675,-94.2128,5.24,119500,150000,0.6,100000,0.54,100000,0.54
DC0065,35.4663,-94.336,3.24,113400,150000,0.57,100000,0.51,100000,0.51
DC0066,35.1377,-90.1963,5.05,112900,150000,0.56,100000,0.51,100000,0.51
DC0067,33.3934,-111.5647,7.72,155600,150000,0.78,100000,0.7,100000,0.7
DC0068,35.2279,-111.827,0.34,155700,150000,0.78,100000,0.7,100000,0.7
DC0069,33.3072,-112.5722,0.62,165000,150000,0.83,100000,0.74,100000,0.74
DC0070,35.1881,-114.4767,6.87,164800,150000,0.82,100000,0.74,100000,0.74
DC0071,32.825,-111.833,4.98,156100,150000,0.78,100000,0.7,100000,0.7
DC0072,33.2872,-111.9403,5.97,160900,150000,0.8,100000,0.72,100000,0.72
DC0073,35.1978,-111.6465,1.28,152300,150000,0.76,100000,0.69,100000,0.69
DC0074,33.3602,-112.4053,0.36,162000,150000,0.81,100000,0.73,100000,0.73
DC0075,35.1116,-113.8585,2.97,170300,150000,0.85,100000,0.77,100000,0.77
DC0076,32.4027,-111.4276,6.48,156000,150000,0.78,100000,0.7,100000,0.7
DC0077,33.3804,-111.6363,6.75,167500,150000,0.84,100000,0.75,100000,0.75
DC0078,33.6513,-112.2444,6.69,164900,150000,0.82,100000,0.74,100000,0.74
DC0079,33.4506,-111.9838,0.21,159600,150000,0.8,100000,0.72,100000,0.72
DC0080,34.6063,-112.3099,5.00,163300,150000,0.82,100000,0.73,100000,0.73
DC0081,33.616,-111.8926,3.47,163500,150000,0.82,100000,0.74,100000,0.74
DC0082,31.5889,-110.2117,5.29,159000,150000,0.8,100000,0.72,100000,0.72
DC0083,33.6573,-112.4649,2.26,167000,150000,0.84,100000,0.75,100000,0.75
DC0084,33.417,-112.2742,3.68,158000,150000,0.79,100000,0.71,100000,0.71
DC0085,31.9699,-111.4276,3.90,163800,150000,0.82,100000,0.74,100000,0.74
DC0086,32.7057,-114.6787,7.38,217900,150000,1.09,100000,0.98,100000,0.98
DC0087,48.985,-123.0433,0.66,188300,150000,0.94,100000,0.85,100000,0.85
DC0088,33.847,-117.9542,5.20,145500,150000,0.73,100000,0.65,100000,0.65
DC0089,38.0084,-121.7993,3.21,169400,150000,0.85,100000,0.76,100000,0.76
DC0090,34.587,-117.1265,7.94,158900,150000,0.79,100000,0.72,100000,0.72
DC0091,35.1269,-119.1856,3.77,137700,150000,0.69,100000,0.62,100000,0.62
DC0092,34.0812,-117.9835,4.74,155800,150000,0.78,100000,0.7,100000,0.7
DC0093,34.2054,-118.3287,0.18,186600,150000,0.93,100000,0.84,100000,0.84
DC0094,34.2331,-119.0809,5.75,196400,150000,0.98,100000,0.88,100000,0.88
DC0095,34.1989,-118.5973,0.20,189900,150000,0.95,100000,0.85,100000,0.85
DC0096,33.1599,-117.2852,0.06,206500,150000,1.03,100000,0.93,100000,0.93
DC0097,39.2245,-120.0954,1.54,140400,150000,0.7,100000,0.63,100000,0.63
DC0098,37.535,-120.9647,0.22,131000,150000,0.66,100000,0.59,100000,0.59
DC0099,33.8725,-118.0596,0.13,150100,150000,0.75,100000,0.68,100000,0.68
DC0100,39.7461,-121.8449,2.36,138100,150000,0.69,100000,0.62,100000,0.62
DC0101,34.012,-117.6787,0.07,158700,150000,0.79,100000,0.71,100000,0.71
DC0102,33.9595,-117.7256,2.65,146200,150000,0.73,100000,0.66,100000,0.66
DC0103,38.6977,-121.2741,7.44,150100,150000,0.75,100000,0.68,100000,0.68
DC0104,36.811,-119.7136,3.17,141700,150000,0.71,100000,0.64,100000,0.64
DC0105,33.993,-118.1532,5.41,150600,150000,0.75,100000,0.68,100000,0.68
DC0106,33.8891,-118.2,5.59,147500,150000,0.74,100000,0.66,100000,0.66
DC0107,38.0349,-122.0269,4.67,159500,150000,0.8,100000,0.72,100000,0.72
DC0108,33.8814,-117.5378,5.69,153700,150000,0.77,100000,0.69,100000,0.69
DC0109,38.3273,-122.7238,6.42,225900,150000,1.13,100000,1.02,100000,1.02
DC0110,34.0948,-117.9073,0.59,145500,150000,0.73,100000,0.65,100000,0.65
DC0111,37.7202,-121.8676,3.00,254000,150000,1.27,100000,1.14,100000,1.14
DC0112,32.7963,-116.9676,2.80,218600,150000,1.09,100000,0.98,100000,0.98
DC0113,32.7539,-115.5918,2.58,204500,150000,1.02,100000,0.92,100000,0.92
DC0114,38.4244,-121.3313,1.05,139400,150000,0.7,100000,0.63,100000,0.63
DC0115,40.8135,-124.1461,2.80,225300,150000,1.13,100000,1.01,100000,1.01
DC0116,38.2494,-122.04,2.21,159800,150000,0.8,100000,0.72,100000,0.72
DC0117,38.6686,-121.1481,6.85,147400,150000,0.74,100000,0.66,100000,0.66
DC0118,34.0838,-117.4674,5.00,155500,150000,0.78,100000,0.7,100000,0.7
DC0119,37.5042,-121.9644,4.92,234600,150000,1.17,100000,1.06,100000,1.06
DC0120,37.8775,-121.2912,6.90,144600,150000,0.72,100000,0.65,100000,0.65
DC0121,36.7308,-119.726,6.10,143200,150000,0.72,100000,0.64,100000,0.64
DC0122,33.875,-117.9659,7.53,156800,150000,0.78,100000,0.71,100000,0.71
DC0123,37.0128,-121.5598,6.65,236400,150000,1.18,100000,1.06,100000,1.06
DC0124,34.1378,-118.2614,1.50,149600,150000,0.75,100000,0.67,100000,0.67
DC0125,36.2808,-119.6499,7.12,127800,150000,0.64,100000,0.58,100000,0.58
DC0126,33.7958,-118.2965,1.80,149900,150000,0.75,100000,0.67,100000,0.67
DC0127,33.9128,-118.352,3.00,198100,150000,0.99,100000,0.89,100000,0.89
DC0128,33.7361,-117.0206,0.67,145600,150000,0.73,100000,0.66,100000,0.66
DC0129,34.1286,-117.2089,4.38,157500,150000,0.79,100000,0.71,100000,0.71
DC0130,33.7223,-118.001,6.57,151000,150000,0.76,100000,0.68,100000,0.68
DC0131,33.6914,-117.7901,6.81,152800,150000,0.76,100000,0.69,100000,0.69
DC0132,38.3702,-120.735,4.47,142200,150000,0.71,100000,0.64,100000,0.64
DC0133,33.9227,-117.96,7.13,147100,150000,0.74,100000,0.66,100000,0.66
DC0134,33.6635,-117.2617,2.91,156100,150000,0.78,100000,0.7,100000,0.7
DC0135,33.8493,-118.1532,5.33,145200,150000,0.73,100000,0.65,100000,0.65
DC0136,34.6946,-118.1474,3.21,144700,150000,0.72,100000,0.65,100000,0.65
DC0137,37.8134,-121.297,6.11,142000,150000,0.71,100000,0.64,100000,0.64
DC0138,34.7937,-118.8364,7.15,131500,150000,0.66,100000,0.59,100000,0.59
DC0139,38.9052,-121.3084,0.31,140100,150000,0.7,100000,0.63,100000,0.63
DC0140,37.6537,-121.6739,6.54,236700,150000,1.18,100000,1.07,100000,1.07
DC0141,38.1304,-121.4228,1.88,137500,150000,0.69,100000,0.62,100000,0.62
DC0142,34.0484,-117.25,5.09,148700,150000,0.74,100000,0.67,100000,0.67
DC0143,33.7415,-118.1942,7.22,144800,150000,0.72,100000,0.65,100000,0.65
DC0144,33.7807,-118.1503,5.82,153200,150000,0.77,100000,0.69,100000,0.69
DC0145,34.0255,-118.352,7.11,192000,150000,0.96,100000,0.86,100000,0.86
DC0146,34.103,-118.4105,1.13,191200,150000,0.96,100000,0.86,100000,0.86
DC0147,36.9153,-120.2051,5.44,145600,150000,0.73,100000,0.66,100000,0.66
DC0148,37.987,-122.152,6.73,168200,150000,0.84,100000,0.76,100000,0.76
DC0149,33.656,-117.185,3.84,148600,150000,0.74,100000,0.67,100000,0.67
DC0150,37.344,-120.413,5.38,136200,150000,0.68,100000,0.61,100000,0.61
DC0151,37.432,-121.899,6.03,240900,150000,1.2,100000,1.08,100000,1.08
DC0152,34.005,-117.538,6.45,156900,150000,0.78,100000,0.71,100000,0.71
DC0153,37.66,-121.02,7.99,131200,150000,0.66,100000,0.59,100000,0.59
DC0154,34.075,-117.696,3.83,146300,150000,0.73,100000,0.66,100000,0.66
DC0155,34.294,-118.883,2.54,196300,150000,0.98,100000,0.88,100000,0.88
DC0156,33.879,-117.227,1.42,145700,150000,0.73,100000,0.66,100000,0.66
DC0157,37.219,-121.583,2.65,251200,150000,1.26,100000,1.13,100000,1.13
DC0158,33.526,-117.338,4.33,153600,150000,0.77,100000,0.69,100000,0.69
DC0159,32.672,-117.097,7.15,210600,150000,1.05,100000,0.95,100000,0.95
DC0160,33.337,-115.331,4.70,208500,150000,1.04,100000,0.94,100000,0.94
DC0161,34.241,-118.551,7.75,186400,150000,0.93,100000,0.84,100000,0.84
DC0162,33.908,-118.083,3.69,155000,150000,0.78,100000,0.7,100000,0.7
DC0163,37.773,-122.214,2.91,167300,150000,0.84,100000,0.75,100000,0.75
DC0164,34.06,-117.62,1.01,155200,150000,0.78,100000,0.7,100000,0.7
DC0165,34.205,-119.168,7.66,199200,150000,1,100000,0.9,100000,0.9
DC0166,34.257,-118.428,0.77,185500,150000,0.93,100000,0.83,100000,0.83
DC0167,34.358,-118.065,7.22,147300,150000,0.74,100000,0.66,100000,0.66
DC0168,33.755,-116.537,2.20,151100,150000,0.76,100000,0.68,100000,0.68
DC0169,33.898,-118.165,6.73,155300,150000,0.78,100000,0.7,100000,0.7
DC0170,35.657,-120.758,6.34,289600,150000,1.45,100000,1.3,100000,1.3
DC0171,37.482,-121.148,2.93,125900,150000,0.63,100000,0.57,100000,0.57
DC0172,33.816,-117.209,5.57,156600,150000,0.78,100000,0.7,100000,0.7
DC0173,33.987,-118.095,1.29,148200,150000,0.74,100000,0.67,100000,0.67
DC0174,36.065,-119.017,6.85,127400,150000,0.64,100000,0.57,100000,0.57
DC0175,32.98,-117.009,5.47,209500,150000,1.05,100000,0.94,100000,0.94
DC0176,38.596,-121.297,7.58,146900,150000,0.73,100000,0.66,100000,0.66
DC0177,34.097,-117.585,4.24,147600,150000,0.74,100000,0.66,100000,0.66
DC0178,40.138,-122.401,3.03,147600,150000,0.74,100000,0.66,100000,0.66
DC0179,40.523,-122.322,5.90,138900,150000,0.69,100000,0.63,100000,0.63
DC0180,34.013,-117.162,2.16,146400,150000,0.73,100000,0.66,100000,0.66
DC0181,34.156,-117.403,0.11,152200,150000,0.76,100000,0.68,100000,0.68
DC0182,33.981,-117.374,4.53,152200,150000,0.76,100000,0.68,100000,0.68
DC0183,38.811,-121.274,4.56,141600,150000,0.71,100000,0.64,100000,0.64
DC0184,38.764,-121.291,5.75,143900,150000,0.72,100000,0.65,100000,0.65
DC0185,38.513,-121.497,7.95,143200,150000,0.72,100000,0.64,100000,0.64
DC0186,36.662,-121.645,2.26,247100,150000,1.24,100000,1.11,100000,1.11
DC0187,34.087,-117.262,0.64,155500,150000,0.78,100000,0.7,100000,0.7
DC0188,37.621,-122.43,7.40,171100,150000,0.86,100000,0.77,100000,0.77
DC0189,33.466,-117.632,1.14,155900,150000,0.78,100000,0.7,100000,0.7
DC0190,32.898,-117.203,6.73,208400,150000,1.04,100000,0.94,100000,0.94
DC0191,34.101,-117.819,2.20,152200,150000,0.76,100000,0.68,100000,0.68
DC0192,37.796,-122.4,4.97,160200,150000,0.8,100000,0.72,100000,0.72
DC0193,37.332,-121.898,0.58,246400,150000,1.23,100000,1.11,100000,1.11
DC0194,37.72,-122.169,7.42,161100,150000,0.81,100000,0.72,100000,0.72
DC0195,35.246,-120.597,6.55,281400,150000,1.41,100000,1.27,100000,1.27
DC0196,33.163,-117.162,7.05,205200,150000,1.03,100000,0.92,100000,0.92
DC0197,34.14,-117.297,2.49,150300,150000,0.75,100000,0.68,100000,0.68
DC0198,37.781,-122.498,1.63,158300,150000,0.79,100000,0.71,100000,0.71
DC0199,34.434,-118.516,2.43,184600,150000,0.92,100000,0.83,100000,0.83
DC0200,37.011,-122.118,1.56,253400,150000,1.27,100000,1.14,100000,1.14
DC0201,34.934,-120.205,0.37,282100,150000,1.41,100000,1.27,100000,1.27
DC0202,38.272,-122.662,3.91,230100,150000,1.15,100000,1.04,100000,1.04
DC0203,34.42,-119.7,3.87,192000,150000,0.96,100000,0.86,100000,0.86
DC0204,32.868,-116.997,7.97,216000,150000,1.08,100000,0.97,100000,0.97
DC0205,35.49,-119.255,4.99,137500,150000,0.69,100000,0.62,100000,0.62
DC0206,34.277,-118.79,0.54,190900,150000,0.95,100000,0.86,100000,0.86
DC0207,37.977,-120.367,0.43,131400,150000,0.66,100000,0.59,100000,0.59
DC0208,38,-121.32,3.46,138800,150000,0.69,100000,0.62,100000,0.62
DC0209,37.39,-122.018,6.70,237400,150000,1.19,100000,1.07,100000,1.07
DC0210,34.302,-118.37,2.31,182900,150000,0.91,100000,0.82,100000,0.82
DC0211,33.477,-117.197,0.90,156500,150000,0.78,100000,0.7,100000,0.7
DC0212,33.829,-118.317,0.55,144800,150000,0.72,100000,0.65,100000,0.65
DC0213,37.684,-121.377,5.59,132400,150000,0.66,100000,0.6,100000,0.6
DC0214,36.197,-119.372,5.02,130200,150000,0.65,100000,0.59,100000,0.59
DC0215,37.471,-120.919,3.92,125000,150000,0.63,100000,0.56,100000,0.56
DC0216,39.141,-123.214,6.29,240900,150000,1.2,100000,1.08,100000,1.08
DC0217,37.595,-122.044,5.50,240300,150000,1.2,100000,1.08,100000,1.08
DC0218,34.104,-117.661,5.38,155100,150000,0.78,100000,0.7,100000,0.7
DC0219,38.329,-121.936,6.26,158700,150000,0.79,100000,0.71,100000,0.71
DC0220,38.089,-122.271,7.47,166500,150000,0.83,100000,0.75,100000,0.75
DC0221,34.269,-119.211,6.91,191300,150000,0.96,100000,0.86,100000,0.86
DC0222,34.006,-118.223,0.98,149700,150000,0.75,100000,0.67,100000,0.67
DC0223,34.485,-117.42,5.34,159700,150000,0.8,100000,0.72,100000,0.72
DC0224,36.328,-119.255,2.18,131100,150000,0.66,100000,0.59,100000,0.59
DC0225,38.582,-121.531,0.06,137100,150000,0.69,100000,0.62,100000,0.62
DC0226,33.753,-118.001,7.63,149000,150000,0.75,100000,0.67,100000,0.67
DC0227,38.695,-121.697,3.25,137900,150000,0.69,100000,0.62,100000,0.62
DC0228,39.011,-121.617,3.90,139700,150000,0.7,100000,0.63,100000,0.63
DC0229,39.754,-104.787,7.74,187900,150000,0.94,100000,0.85,100000,0.85
DC0230,38.9,-104.75,3.23,182500,150000,0.91,100000,0.82,100000,0.82
DC0231,39.867,-104.775,5.56,175800,150000,0.88,100000,0.79,100000,0.79
DC0232,39.748,-104.992,1.69,180000,150000,0.9,100000,0.81,100000,0.81
DC0233,37.495,-107.811,6.34,157500,150000,0.79,100000,0.71,100000,0.71
DC0234,40.037,-105.009,0.90,178800,150000,0.89,100000,0.8,100000,0.8
DC0235,40.542,-105.044,3.92,177000,150000,0.89,100000,0.8,100000,0.8
DC0236,38.659,-104.682,1.36,180200,150000,0.9,100000,0.81,100000,0.81
DC0237,40.104,-104.921,1.84,174300,150000,0.87,100000,0.78,100000,0.78
DC0238,39.716,-105.231,4.06,185900,150000,0.93,100000,0.84,100000,0.84
DC0239,39.224,-108.594,0.19,183400,150000,0.92,100000,0.83,100000,0.83
DC0240,39.075,-108.552,1.05,179600,150000,0.9,100000,0.81,100000,0.81
DC0241,40.44,-104.682,6.11,172200,150000,0.86,100000,0.77,100000,0.77
DC0242,39.548,-105.015,4.32,180200,150000,0.9,100000,0.81,100000,0.81
DC0243,40.173,-105.114,1.39,179600,150000,0.9,100000,0.81,100000,0.81
DC0244,40.485,-105.243,2.67,178800,150000,0.89,100000,0.8,100000,0.8
DC0245,39.912,-105.003,5.81,178200,150000,0.89,100000,0.8,100000,0.8
DC0246,38.306,-104.542,5.29,180000,150000,0.9,100000,0.81,100000,0.81
DC0247,41.839,-72.733,4.60,228700,150000,1.14,100000,1.03,100000,1.03
DC0248,41.276,-72.793,4.78,236100,150000,1.18,100000,1.06,100000,1.06
DC0249,41.675,-72.922,4.85,219500,150000,1.1,100000,0.99,100000,0.99
DC0250,41.508,-72.911,0.80,219400,150000,1.1,100000,0.99,100000,0.99
DC0251,41.376,-73.453,2.59,236700,150000,1.18,100000,1.07,100000,1.07
DC0252,41.862,-71.845,2.50,221600,150000,1.11,100000,1,100000,1
DC0253,41.779,-72.621,4.50,237700,150000,1.19,100000,1.07,100000,1.07
DC0254,41.922,-72.461,6.09,227200,150000,1.14,100000,1.02,100000,1.02
DC0255,41.765,-72.687,7.69,228700,150000,1.14,100000,1.03,100000,1.03
DC0256,41.76,-72.532,7.84,227300,150000,1.14,100000,1.02,100000,1.02
DC0257,41.222,-73.046,0.94,221900,150000,1.11,100000,1,100000,1
DC0258,41.363,-72.106,1.62,225400,150000,1.13,100000,1.01,100000,1.01
DC0259,41.305,-72.927,1.34,218600,150000,1.09,100000,0.98,100000,0.98
DC0260,41.693,-72.722,7.65,238200,150000,1.19,100000,1.07,100000,1.07
DC0261,41.384,-72.863,0.95,224800,150000,1.12,100000,1.01,100000,1.01
DC0262,41.117,-73.459,5.90,219800,150000,1.1,100000,0.99,100000,0.99
DC0263,41.273,-73.029,5.32,233400,150000,1.17,100000,1.05,100000,1.05
DC0264,41.662,-71.916,1.07,228900,150000,1.14,100000,1.03,100000,1.03
DC0265,41.676,-72.863,2.88,229700,150000,1.15,100000,1.03,100000,1.03
DC0266,41.147,-73.591,5.33,239000,150000,1.2,100000,1.08,100000,1.08
DC0267,41.166,-73.129,5.36,235200,150000,1.18,100000,1.06,100000,1.06
DC0268,41.827,-73.159,3.05,235200,150000,1.18,100000,1.06,100000,1.06
DC0269,41.351,-72.154,6.13,228300,150000,1.14,100000,1.03,100000,1.03
DC0270,41.618,-73.123,1.09,223100,150000,1.12,100000,1,100000,1
DC0271,41.879,-72.674,1.63,225900,150000,1.13,100000,1.02,100000,1.02
DC0272,41.933,-72.651,7.22,231200,150000,1.16,100000,1.04,100000,1.04
DC0273,39.594,-75.702,0.46,140300,150000,0.7,100000,0.63,100000,0.63
DC0274,39.114,-75.551,1.24,148900,150000,0.74,100000,0.67,100000,0.67
DC0275,39.208,-75.458,5.18,148100,150000,0.74,100000,0.67,100000,0.67
DC0276,38.764,-75.178,6.35,140900,150000,0.7,100000,0.63,100000,0.63
DC0277,39.516,-75.644,5.79,139600,150000,0.7,100000,0.63,100000,0.63
DC0278,38.577,-75.318,2.22,150600,150000,0.75,100000,0.68,100000,0.68
DC0279,39.632,-75.598,1.59,128400,150000,0.64,100000,0.58,100000,0.58
DC0280,39.722,-75.749,4.26,129500,150000,0.65,100000,0.58,100000,0.58
DC0281,38.618,-75.644,3.30,156700,150000,0.78,100000,0.71,100000,0.71
DC0282,39.301,-75.551,6.92,152500,150000,0.76,100000,0.69,100000,0.69
DC0283,39.731,-75.545,4.15,138100,150000,0.69,100000,0.62,100000,0.62
DC0284,29.83,-82.497,6.38,128200,150000,0.64,100000,0.58,100000,0.58
DC0285,28.755,-81.494,5.15,153100,150000,0.77,100000,0.69,100000,0.69
DC0286,28.078,-81.801,1.52,136700,150000,0.68,100000,0.62,100000,0.62
DC0287,30.237,-81.997,3.91,129200,150000,0.65,100000,0.58,100000,0.58
DC0288,27.892,-81.801,4.58,130500,150000,0.65,100000,0.59,100000,0.59
DC0289,26.381,-80.171,2.76,175500,150000,0.88,100000,0.79,100000,0.79
DC0290,26.358,-81.746,5.45,220800,150000,1.1,100000,0.99,100000,0.99
DC0291,26.539,-80.081,7.32,171300,150000,0.86,100000,0.77,100000,0.77
DC0292,27.487,-82.589,5.10,155200,150000,0.78,100000,0.7,100000,0.7
DC0293,27.908,-82.291,5.04,146300,150000,0.73,100000,0.66,100000,0.66
DC0294,28.597,-82.345,0.20,131900,150000,0.66,100000,0.59,100000,0.59
DC0295,26.721,-81.943,1.23,166700,150000,0.83,100000,0.75,100000,0.75
DC0296,28.031,-82.719,1.35,143900,150000,0.72,100000,0.65,100000,0.65
DC0297,28.537,-81.713,5.30,140100,150000,0.7,100000,0.63,100000,0.63
DC0298,26.256,-80.179,2.17,171200,150000,0.86,100000,0.77,100000,0.77
DC0299,26.248,-80.271,6.32,163400,150000,0.82,100000,0.74,100000,0.74
DC0300,30.737,-86.601,1.64,133000,150000,0.67,100000,0.6,100000,0.6
DC0301,26.07,-80.227,1.45,172100,150000,0.86,100000,0.77,100000,0.77
DC0302,29.21,-81.02,2.04,154900,150000,0.77,100000,0.7,100000,0.7
DC0303,29.215,-81.021,3.82,153700,150000,0.77,100000,0.69,100000,0.69
DC0304,26.306,-80.093,2.54,176700,150000,0.88,100000,0.8,100000,0.8
DC0305,29.061,-81.23,1.29,151200,150000,0.76,100000,0.68,100000,0.68
DC0306,26.457,-80.081,7.34,165500,150000,0.83,100000,0.74,100000,0.74
DC0307,28.908,-81.175,3.93,158400,150000,0.79,100000,0.71,100000,0.71
DC0308,30.529,-87.287,1.14,127400,150000,0.64,100000,0.57,100000,0.57
DC0309,30.595,-81.494,0.33,136400,150000,0.68,100000,0.61,100000,0.61
DC0310,25.292,-80.611,7.14,210400,150000,1.05,100000,0.95,100000,0.95
DC0311,26.135,-80.118,4.53,164500,150000,0.82,100000,0.74,100000,0.74
DC0312,26.58,-81.839,2.21,159200,150000,0.8,100000,0.72,100000,0.72
DC0313,27.398,-80.371,3.51,167600,150000,0.84,100000,0.75,100000,0.75
DC0314,27.447,-80.342,3.59,170300,150000,0.85,100000,0.77,100000,0.77
DC0315,27.439,-80.377,7.40,171100,150000,0.86,100000,0.77,100000,0.77
DC0316,29.679,-82.464,0.49,134600,150000,0.67,100000,0.61,100000,0.61
DC0317,30.396,-87.007,0.54,131900,150000,0.66,100000,0.59,100000,0.59
DC0318,28.064,-81.582,3.77,134200,150000,0.67,100000,0.6,100000,0.6
DC0319,25.864,-80.305,0.03,173700,150000,0.87,100000,0.78,100000,0.78
DC0320,25.893,-80.335,7.94,174700,150000,0.87,100000,0.79,100000,0.79
DC0321,26.018,-80.16,2.24,167100,150000,0.84,100000,0.75,100000,0.75
DC0322,25.492,-80.437,6.50,222900,150000,1.11,100000,1,100000,1
DC0323,28.781,-82.615,7.22,131000,150000,0.66,100000,0.59,100000,0.59
DC0324,28.874,-82.36,2.17,124900,150000,0.62,100000,0.56,100000,0.56
DC0325,30.349,-81.417,6.25,134500,150000,0.67,100000,0.61,100000,0.61
DC0326,27.241,-80.226,1.66,166000,150000,0.83,100000,0.75,100000,0.75
